"Computer Name","IP Address","OS","CPU","Last Report Time"
"244INFPC990","172.19.58.82","Win7 6.1.7601","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 17:27:40 +0000"
"243THCPC990","10.64.72.172","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:30:35 +0000"
"243THCPC016","10.64.72.151","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:06:57 +0000"
"243THCPC014","10.64.72.162","Win7 6.1.7601","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:11:34 +0000"
"244NGPPC990","172.19.58.8","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:45:30 +0000"
"246ITSLT026","10.74.9.38","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:01:11 +0000"
"246ITSLT004","172.16.6.15
10.74.9.28","Win10 10.0.17134.1009 (1803)","1900 MHz Core i5-8350U","Tue, 05 Nov 2019 16:12:03 +0000"
"246ITSLT006","10.74.8.79","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Tue, 05 Nov 2019 18:09:05 +0000"
"246ITSLT024","10.74.9.35","Win10 10.0.17134.1009 (1803)","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 18:12:25 +0000"
"246ITSLT023","172.16.1.17","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Tue, 05 Nov 2019 18:03:17 +0000"
"246ITSLT021","192.168.163.170
172.19.181.204","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 14:19:06 +0000"
"246ITSLT020","192.168.1.82
10.74.9.30","Win10 10.0.17134.1009 (1803)","2800 MHz Core i7-6600U","Tue, 05 Nov 2019 18:15:10 +0000"
"246ITSLT019","172.16.1.240","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 17:58:54 +0000"
"246ITSLT018","172.16.6.240","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 13:54:01 +0000"
"246ITSLT017","172.16.6.168
10.74.9.158","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:11:30 +0000"
"246ITSLT005","10.200.43.127
172.19.171.217","Win10 10.0.17134.1009 (1803)","1900 MHz Core i5-8350U","Tue, 05 Nov 2019 16:44:45 +0000"
"246ITSLT016","172.16.6.61
10.74.9.199","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:11:38 +0000"
"246ITSLT014","172.16.0.25
10.74.8.60","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 17:51:08 +0000"
"246ITSLT013","10.74.9.104","Win10 10.0.18362.418 (1903)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:13:07 +0000"
"246ITSLT012","172.16.2.120
10.74.8.186","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:08:41 +0000"
"246ITSLT011","10.74.8.201","Win10 10.0.17134.1009 (1803)","2200 MHz Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 17:59:45 +0000"
